"Game","Date","1","2","3","4","5","6","Additional number","some_1","Some_2"
"2837","25/10/16","4","16","19","25","29","37","6","0","0"
"2836","22/10/16","1","6","12","14","36","37","3","0","0"
"2835","18/10/16","4","5","9","12","16","29","3","1","0"
"2834","15/10/16","9","20","22","23","24","29","6","0","0"
"2833","10/10/16","3","8","17","20","22","30","3","2","0"
"2832","08/10/16","1","9","10","21","24","32","1","0","0"
"2831","05/10/16","9","11","14","16","27","37","1","0","0"
"2830","01/10/16","14","20","23","25","26","35","3","0","0"
"2829","27/09/16","5","11","18","20","30","35","5","0","0"
"2828","24/09/16","9","15","17","25","27","32","3","0","0"
"2827","20/09/16","5","9","19","21","22","34","2","0","0"
"2826","17/09/16","11","14","22","26","27","33","7","0","0"
"2825","13/09/16","1","10","11","12","18","19","5","0","0"
"2824","10/09/16","5","7","10","13","24","33","7","0","0"
"2823","06/09/16","7","13","14","28","29","35","6","0","0"
"2822","03/09/16","1","4","16","26","28","37","5","0","0"
"2821","30/08/16","3","11","12","15","21","26","6","0","0"
"2820","27/08/16","12","13","15","20","21","32","1","0","0"
"2819","23/08/16","4","6","18","26","29","34","1","0","0"
"2818","20/08/16","3","4","5","27","30","36","3","0","0"
"2817","16/08/16","1","2","32","34","36","37","6","0","1"
"2816","14/08/16","1","3","15","27","31","35","7","0","0"
"2815","09/08/16","6","8","9","14","16","17","4","0","0"
"2814","06/08/16","1","25","34","35","36","37","2","0","0"
"2813","02/08/16","7","26","28","30","31","34","1","0","0"
"2812","30/07/16","2","12","20","28","30","33","5","0","0"
"2811","26/07/16","10","13","16","24","27","37","2","0","0"
"2810","23/07/16","1","9","15","20","23","28","4","1","0"
"2809","19/07/16","5","10","13","17","25","36","3","1","0"
"2808","16/07/16","4","6","15","24","31","37","4","0","0"
"2807","12/07/16","6","14","18","26","29","36","7","0","0"
"2806","09/07/16","1","2","5","16","24","34","7","0","0"
"2805","05/07/16","7","12","18","22","32","36","3","0","0"
"2804","02/07/16","3","7","10","21","33","35","2","1","0"
"2803","28/06/16","11","12","18","19","32","37","4","0","0"
"2802","25/06/16","2","12","21","23","28","31","6","0","0"
"2801","21/06/16","7","11","19","25","28","37","4","0","0"
"2800","18/06/16","12","14","16","29","32","37","5","0","0"
